model,endpoint,query_version,dataset,dataset_sha256,routes,routes_sha256,candidate_format,raw_scores,case_count,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,best_score,second_score,margin,routes_json,request_latency_sec,error
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,True,-1.6806641,-7.3242188,5.643554699999999,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.3242188}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.6806641}]",0.012637338000786258,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,True,-1.8095703,-9.109375,7.2998047,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -9.109375}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.8095703}]",0.011078477000410203,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_003,easy,А сколько стоит тариф Pro?,NEW,CONTINUE,False,-1.9560547,-8.8671875,6.9111328,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -8.8671875}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.9560547}]",0.010891212999922573,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,True,-1.1015625,-5.5898438,4.4882813,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.5898438}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.1015625}]",0.011273093999989214,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_005,easy,А как оформить больничный?,NEW,CONTINUE,False,-0.7495117,-6.6523438,5.9028320999999995,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -6.6523438}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.7495117}]",0.008220113000788842,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,True,-0.66748047,-4.953125,4.28564453,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -4.953125}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.66748047}]",0.010574346000794321,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_007,easy,Как удалить мой аккаунт?,NEW,CONTINUE,False,-2.3222656,-8.1484375,5.8261719,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -8.1484375}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -2.3222656}]",0.011227578001125949,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,True,-0.81689453,-6.9140625,6.09716797,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -6.9140625}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.81689453}]",0.011136926999824937,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_009,easy,А где поменять пароль?,NEW,CONTINUE,False,-0.7338867,-7.0898438,6.3559570999999995,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.0898438}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.7338867}]",0.010714170000937884,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,True,1.7216797,-2.6210938,4.3427735,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -2.6210938}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": 1.7216797}]",0.011363964998963638,
