model,endpoint,query_version,dataset,dataset_sha256,routes,routes_sha256,candidate_format,raw_scores,case_count,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,best_score,second_score,margin,routes_json,request_latency_sec,error
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,True,-1.6806641,-7.3242188,5.643554699999999,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -1.6806641}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -7.3242188}]",0.014104948000749573,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,True,-1.8095703,-9.109375,7.2998047,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -1.8095703}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -9.109375}]",0.012586983999426593,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_003,easy,А сколько стоит тариф Pro?,NEW,CONTINUE,False,-1.9511719,-8.8671875,6.9160156,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -1.9511719}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -8.8671875}]",0.009409246000359417,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,True,-1.1015625,-5.5898438,4.4882813,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -1.1015625}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -5.5898438}]",0.012426100000084261,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_005,easy,А как оформить больничный?,NEW,CONTINUE,False,-0.7519531,-6.6484375,5.8964844,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -0.7519531}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -6.6484375}]",0.01243352400160802,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,True,-0.66748047,-4.953125,4.28564453,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -0.66748047}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -4.953125}]",0.012742437998895184,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_007,easy,Как удалить мой аккаунт?,NEW,CONTINUE,False,-2.3222656,-8.1484375,5.8261719,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -2.3222656}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -8.1484375}]",0.013338431999727618,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,True,-0.81689453,-6.9140625,6.09716797,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -0.81689453}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -6.9140625}]",0.013050858999122283,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_009,easy,А где поменять пароль?,NEW,CONTINUE,False,-0.7338867,-7.0898438,6.3559570999999995,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": -0.7338867}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -7.0898438}]",0.012810494999939692,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,<route name>: <route description>,True,30,2026-09-05T08:03:50.091956+00:00,case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,True,1.7197266,-2.6230469,4.3427735,"[{""input_index"": 0, ""name"": ""CONTINUE"", ""score"": 1.7197266}, {""input_index"": 1, ""name"": ""NEW"", ""score"": -2.6230469}]",0.009562676999848918,
